"id","fdc_id"
"22887","2262073"
"22892","2262074"
"22888","2262074"
"22893","2262075"
"22889","2262075"
"22900","2263887"
"22894","2263887"
"22901","2263888"
"22895","2263888"
"22902","2263889"
"22896","2263889"
"22903","2263890"
"22897","2263890"
"22904","2263891"
"22898","2263891"
"22905","2263892"
"22899","2263892"
"22937","2346384"
"22906","2346384"
"22938","2346385"
"22907","2346385"
"22939","2346386"
"22908","2346386"
"22940","2346387"
"22909","2346387"
"22910","2346388"
"22941","2346388"
"22911","2346389"
"22942","2346389"
"22912","2346390"
"22943","2346390"
"22913","2346391"
"22944","2346391"
"22945","2346392"
"22914","2346392"
"22946","2346393"
"22915","2346393"
"22947","2346394"
"22916","2346394"
"22948","2346395"
"22917","2346395"
"22949","2346396"
"22918","2346396"
"22950","2346397"
"22919","2346397"
"22951","2346398"
"22920","2346398"
"22952","2346399"
"22921","2346399"
"22953","2346400"
"22922","2346400"
"22954","2346401"
"22923","2346401"
"22955","2346402"
"22924","2346402"
"22956","2346403"
"22925","2346403"
"22957","2346404"
"22926","2346404"
"22927","2346405"
"22958","2346405"
"22928","2346406"
"22959","2346406"
"22929","2346407"
"22960","2346407"
"22930","2346408"
"22961","2346408"
"22962","2346409"
"22931","2346409"
"22963","2346410"
"22932","2346410"
"22964","2346411"
"22933","2346411"
"22965","2346412"
"22934","2346412"
"22966","2346413"
"22935","2346413"
"22967","2346414"
"22936","2346414"
"22979","2512371"
"22968","2512371"
"22980","2512372"
"22969","2512372"
"22981","2512373"
"22970","2512373"
"22982","2512374"
"22971","2512374"
"22983","2512375"
"22972","2512375"
"22984","2512376"
"22973","2512376"
"22985","2512377"
"22974","2512377"
"22986","2512378"
"22975","2512378"
"22987","2512379"
"22976","2512379"
"22988","2512380"
"22977","2512380"
"22989","2512381"
"22978","2512381"
"22990","2514743"
"22995","2514743"
"22991","2514744"
"22996","2514744"
"22992","2514745"
"22997","2514745"
"22993","2514746"
"22998","2514746"
"22994","2514747"
"22999","2514747"
"23000","2515373"
"23010","2515373"
"23001","2515374"
"23011","2515374"
"23002","2515375"
"23012","2515375"
"23003","2515376"
"23013","2515376"
"23004","2515377"
"23014","2515377"
"23005","2515378"
"23015","2515378"
"23006","2515379"
"23016","2515379"
"23007","2515380"
"23017","2515380"
"23008","2515381"
"23018","2515381"
"23009","2515382"
"23019","2515382"
"23020","2644281"
"23034","2644281"
"23021","2644282"
"23035","2644282"
"23022","2644283"
"23036","2644283"
"23023","2644284"
"23037","2644284"
"23024","2644285"
"23038","2644285"
"23025","2644286"
"23039","2644286"
"23026","2644287"
"23040","2644287"
"23027","2644288"
"23041","2644288"
"23028","2644289"
"23042","2644289"
"23029","2644290"
"23043","2644290"
"23030","2644291"
"23044","2644291"
"23031","2644292"
"23045","2644292"
"23032","2644293"
"23046","2644293"
"23033","2644294"
"23047","2644294"
"23048","2646168"
"23056","2646168"
"23049","2646169"
"23057","2646169"
"23050","2646170"
"23058","2646170"
"23051","2646171"
"23059","2646171"
"23052","2646172"
"23060","2646172"
"23053","2646173"
"23061","2646173"
"23054","2646174"
"23062","2646174"
"23055","2646175"
"23063","2646175"
"23064","2647437"
"23071","2647437"
"23072","2647438"
"23065","2647438"
"23073","2647439"
"23066","2647439"
"23074","2647440"
"23067","2647440"
"23075","2647441"
"23068","2647441"
"23076","2647442"
"23069","2647442"
"23077","2647443"
"23070","2647443"
"23078","2684440"
"23085","2684440"
"23079","2684441"
"23086","2684441"
"23080","2684442"
"23087","2684442"
"23081","2684443"
"23088","2684443"
"23082","2684444"
"23089","2684444"
"23083","2684445"
"23090","2684445"
"23084","2684446"
"23091","2684446"
"23092","2685568"
"23107","2685568"
"23093","2685569"
"23108","2685569"
"23094","2685570"
"23109","2685570"
"23095","2685571"
"23110","2685571"
"23096","2685572"
"23111","2685572"
"23097","2685573"
"23112","2685573"
"23098","2685574"
"23113","2685574"
"23099","2685575"
"23114","2685575"
"23100","2685576"
"23115","2685576"
"23101","2685577"
"23116","2685577"
"23102","2685578"
"23117","2685578"
"23103","2685579"
"23118","2685579"
"23104","2685580"
"23119","2685580"
"23105","2685581"
"23120","2685581"
"23106","2685582"
"23121","2685582"
"23151","2710815"
"23122","2710815"
"23152","2710816"
"23123","2710816"
"23153","2710817"
"23124","2710817"
"23154","2710818"
"23125","2710818"
"23126","2710819"
"23155","2710819"
"23127","2710820"
"23156","2710820"
"23128","2710821"
"23157","2710821"
"23129","2710822"
"23158","2710822"
"23130","2710823"
"23159","2710823"
"23131","2710824"
"23160","2710824"
"23132","2710825"
"23161","2710825"
"23162","2710826"
"23133","2710826"
"23134","2710827"
"23163","2710827"
"23135","2710828"
"23164","2710828"
"23136","2710829"
"23165","2710829"
"23137","2710830"
"23166","2710830"
"23167","2710831"
"23138","2710831"
"23168","2710832"
"23139","2710832"
"23169","2710833"
"23140","2710833"
"23170","2710834"
"23141","2710834"
"23142","2710835"
"23171","2710835"
"23172","2710836"
"23143","2710836"
"23173","2710837"
"23144","2710837"
"23145","2710838"
"23174","2710838"
"23146","2710839"
"23175","2710839"
"23147","2710840"
"23176","2710840"
"23148","2710841"
"23177","2710841"
"23149","2710842"
"23178","2710842"
"23179","2710843"
"23150","2710843"
"23180","2727566"
"23204","2727566"
"23181","2727567"
"23205","2727567"
"23182","2727568"
"23206","2727568"
"23183","2727569"
"23207","2727569"
"23184","2727570"
"23208","2727570"
"23185","2727571"
"23209","2727571"
"23186","2727572"
"23210","2727572"
"23187","2727573"
"23211","2727573"
"23188","2727574"
"23212","2727574"
"23189","2727575"
"23213","2727575"
"23190","2727576"
"23214","2727576"
"23215","2727577"
"23191","2727577"
"23192","2727578"
"23216","2727578"
"23217","2727579"
"23193","2727579"
"23194","2727580"
"23218","2727580"
"23195","2727581"
"23219","2727581"
"23220","2727582"
"23196","2727582"
"23197","2727583"
"23221","2727583"
"23198","2727584"
"23222","2727584"
"23199","2727585"
"23223","2727585"
"23200","2727586"
"23224","2727586"
"23225","2727587"
"23201","2727587"
"23202","2727588"
"23226","2727588"
"23203","2727589"
"23227","2727589"
